Date;From;To;Aircraft;STD;ATD;STA;Status
2014-08-13;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-12;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-11;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-10;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-09;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-08;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-07;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-06;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-05;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;-;17:10;-;01:15;Scheduled
2014-08-04;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:51;01:15;Landed 01:22
2014-08-03;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:42;01:15;Landed 01:12
2014-08-02;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:54;01:15;Landed 01:36
2014-08-01;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:55;01:15;Landed 01:30
2014-07-31;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:26;01:15;Landed 00:59
2014-07-30;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:40;01:15;Landed 00:54
2014-07-29;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:50;01:15;Landed 01:13
2014-07-28;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:28;01:15;Landed 00:53
2014-07-27;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:40;01:15;Landed 01:02
2014-07-26;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:27;01:15;Landed 00:54
2014-07-25;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:36;01:15;Landed 01:04
2014-07-24;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;18:12;01:15;Landed 01:53
2014-07-23;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;18:09;01:15;Landed 01:16
2014-07-22;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:49;01:15;Landed 00:56
2014-07-21;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:36;01:15;Landed 00:38
2014-07-20;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:38;01:15;Landed 00:56
2014-07-19;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;18:05;01:15;Landed 01:10
2014-07-18;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;18:08;01:15;Landed 01:48
2014-07-17;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:35;01:15;Landed 00:57
2014-07-16;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:24;01:15;Landed 00:59
2014-07-15;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:25;01:15;Landed 01:16
2014-07-14;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:35;01:15;Landed 01:26
2014-07-13;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:38;01:15;Landed 01:12
2014-07-12;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:25;01:15;Landed 00:58
2014-07-11;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:46;01:15;Landed 00:59
2014-07-10;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:41;01:15;Landed 01:03
2014-07-09;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:42;01:15;Landed 01:08
2014-07-08;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:33;01:15;Landed 01:03
2014-07-07;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:34;01:15;Landed 01:41
2014-07-06;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:22;01:15;Landed 00:55
2014-07-05;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:43;01:15;Landed 01:08
2014-07-04;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:25;01:15;Landed 00:58
2014-07-03;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:32;01:15;Landed 00:48
2014-07-03;Boston Logan International Airport;New York John F. Kennedy International Airport;B772 ;02:30;03:41;03:40;Landed 04:25
2014-07-02;Paris Charles de Gaulle Airport;Boston Logan International Airport;B772 ;17:12;17:22;01:30;Scheduled
2014-07-01;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:43;01:15;Landed 00:59
2014-06-30;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:49;01:15;Landed 00:58
2014-06-29;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:29;01:15;Landed 00:32
2014-06-28;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:30;01:15;Landed 00:43
2014-06-27;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:35;01:15;Landed 00:50
2014-06-26;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:43;01:15;Landed 01:26
2014-06-25;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:46;01:15;Landed 01:20
2014-06-24;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:45;01:15;Landed 01:16
2014-06-23;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:46;01:15;Landed 01:04
2014-06-22;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:36;01:15;Landed 00:59
2014-06-21;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;18:35;01:15;Landed 02:15
2014-06-20;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:35;01:15;Landed 00:57
2014-06-19;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:36;01:15;Landed 00:41
2014-06-18;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:26;01:15;Landed 00:45
2014-06-17;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:42;01:15;Landed 00:50
2014-06-16;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:38;01:15;Landed 00:43
2014-06-15;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:49;01:15;Landed 00:57
2014-06-14;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:27;01:15;Landed 00:49
2014-06-13;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:47;01:15;Landed 01:06
2014-06-12;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:32;01:15;Landed 00:55
2014-06-11;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:25;01:15;Landed 00:45
2014-06-10;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;18:09;01:15;Landed 01:15
2014-06-09;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:40;01:15;Landed 00:45
2014-06-08;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:49;01:15;Landed 00:47
2014-06-07;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:32;01:15;Landed 00:38
2014-06-06;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:46;01:15;Landed 01:03
2014-06-05;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:24;01:15;Landed 00:48
2014-06-04;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:26;01:15;Landed 00:34
2014-06-03;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:23;01:15;Landed 00:39
2014-06-02;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;18:07;01:15;Landed 01:36
2014-06-01;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:25;01:15;Landed 00:41
2014-05-31;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:50;01:15;Landed 00:56
2014-05-30;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:23;01:15;Landed 00:42
2014-05-29;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:21;01:15;Landed 00:31
2014-05-28;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:20;01:15;Landed 00:31
2014-05-27;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:20;01:15;Landed 00:32
2014-05-26;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:26;01:15;Landed 00:30
2014-05-25;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:42;01:15;Landed 00:44
2014-05-24;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:47;01:15;Landed 00:51
2014-05-24;Bradley International Airport;New York John F. Kennedy International Airport;B772 ;01:30;02:52;02:20;Scheduled
2014-05-23;Paris Charles de Gaulle Airport;Bradley International Airport;-;17:05;17:15;00:53;Scheduled
2014-05-22;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:27;01:15;Landed 00:41
2014-05-21;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:29;01:15;Landed 00:42
2014-05-20;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;18:06;01:15;Landed 00:48
2014-05-19;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:38;01:15;Landed 00:28
2014-05-18;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:28;01:15;Landed 00:31
2014-05-17;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:31;01:15;Landed 00:48
2014-05-16;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:26;01:15;Landed 00:45
2014-05-15;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:38;01:15;Landed 00:49
2014-05-14;Paris Charles de Gaulle Airport;New York John F. Kennedy International Airport;B772 ;17:10;17:30;01:15;Landed 00:34
